sex,education,has_partner,age,children
0.0,1.0,0,44.0,0.175
0.0,1.0,0,45.0,0.18888888888888888
0.0,1.0,0,46.0,0.15384615384615385
0.0,1.0,0,47.0,0.12631578947368421
0.0,1.0,0,48.0,0.12121212121212122
0.0,1.0,0,49.0,0.12643678160919541
0.0,1.0,0,50.0,0.09876543209876543
0.0,1.0,0,51.0,0.2077922077922078
0.0,1.0,0,52.0,0.2073170731707317
0.0,1.0,0,53.0,0.21176470588235294
0.0,1.0,0,54.0,0.1506849315068493
0.0,1.0,0,55.0,0.14457831325301204
0.0,1.0,0,56.0,0.1232876712328767
0.0,1.0,0,57.0,0.11842105263157894
0.0,1.0,0,58.0,0.13157894736842105
0.0,1.0,0,59.0,0.057971014492753624
0.0,1.0,0,60.0,0.05
0.0,1.0,0,61.0,0.06557377049180328
0.0,1.0,0,62.0,0.03389830508474576
0.0,1.0,0,63.0,0.017241379310344827
0.0,1.0,0,64.0,0.017543859649122806
0.0,1.0,0,65.0,0.05660377358490566
0.0,1.0,0,66.0,0.08163265306122448
0.0,1.0,0,67.0,0.0784313725490196
0.0,1.0,0,68.0,0.057692307692307696
0.0,1.0,0,69.0,0.0
0.0,1.0,0,70.0,0.0
0.0,1.0,0,71.0,0.0
0.0,1.0,0,72.0,0.020833333333333332
0.0,1.0,0,73.0,0.0
0.0,1.0,0,74.0,0.0
0.0,1.0,0,75.0,0.0
0.0,1.0,0,76.0,0.0
0.0,1.0,0,77.0,0.0
0.0,1.0,0,78.0,0.0
0.0,1.0,0,79.0,0.0
0.0,1.0,0,80.0,0.0
0.0,1.0,0,81.0,0.0
0.0,1.0,0,82.0,0.1
0.0,1.0,0,83.0,0.0
0.0,1.0,0,84.0,0.0
0.0,1.0,0,85.0,0.0
0.0,1.0,1,30.0,0.8
0.0,1.0,1,31.0,0.8833333333333333
0.0,1.0,1,32.0,1.096774193548387
0.0,1.0,1,33.0,1.2279792746113989
0.0,1.0,1,34.0,1.3406113537117903
0.0,1.0,1,35.0,1.444015444015444
0.0,1.0,1,36.0,1.4886731391585761
0.0,1.0,1,37.0,1.6128048780487805
0.0,1.0,1,38.0,1.7321428571428572
0.0,1.0,1,39.0,1.893048128342246
0.0,1.0,1,40.0,1.9198966408268734
0.0,1.0,1,41.0,2.014705882352941
0.0,1.0,1,42.0,2.011389521640091
0.0,1.0,1,43.0,1.9977827050997783
0.0,1.0,1,44.0,1.9565217391304348
0.0,1.0,1,45.0,1.9593147751605995
0.0,1.0,1,46.0,1.8912579957356077
0.0,1.0,1,47.0,1.7653276955602537
0.0,1.0,1,48.0,1.7180616740088106
0.0,1.0,1,49.0,1.5881006864988558
0.0,1.0,1,50.0,1.4752941176470589
0.0,1.0,1,51.0,1.2990196078431373
0.0,1.0,1,52.0,1.0911528150134049
0.0,1.0,1,53.0,0.9517045454545454
0.0,1.0,1,54.0,0.7703488372093024
0.0,1.0,1,55.0,0.6246153846153846
0.0,1.0,1,56.0,0.49050632911392406
0.0,1.0,1,57.0,0.3575949367088608
0.0,1.0,1,58.0,0.26557377049180325
0.0,1.0,1,59.0,0.18305084745762712
0.0,1.0,1,60.0,0.15916955017301038
0.0,1.0,1,61.0,0.1111111111111111
0.0,1.0,1,62.0,0.06589147286821706
0.0,1.0,1,63.0,0.05058365758754864
0.0,1.0,1,64.0,0.036290322580645164
0.0,1.0,1,65.0,0.027149321266968326
0.0,1.0,1,66.0,0.009345794392523364
0.0,1.0,1,67.0,0.008968609865470852
0.0,1.0,1,68.0,0.004405286343612335
0.0,1.0,1,69.0,0.008888888888888889
0.0,1.0,1,70.0,0.018779342723004695
0.0,1.0,1,71.0,0.013888888888888888
0.0,1.0,1,72.0,0.008849557522123894
0.0,1.0,1,73.0,0.00881057268722467
0.0,1.0,1,74.0,0.008547008547008548
0.0,1.0,1,75.0,0.009259259259259259
0.0,1.0,1,76.0,0.0
0.0,1.0,1,77.0,0.0
0.0,1.0,1,78.0,0.0
0.0,1.0,1,79.0,0.0
0.0,1.0,1,80.0,0.0
0.0,1.0,1,81.0,0.0
0.0,1.0,1,82.0,0.0
0.0,1.0,1,83.0,0.0
0.0,1.0,1,84.0,0.0
0.0,1.0,1,85.0,0.0
1.0,0.0,0,30.0,0.9558823529411765
1.0,0.0,0,31.0,1.1227272727272728
1.0,0.0,0,32.0,1.2136363636363636
1.0,0.0,0,33.0,1.3388429752066116
1.0,0.0,0,34.0,1.271604938271605
1.0,0.0,0,35.0,1.4188034188034189
1.0,0.0,0,36.0,1.4831932773109244
1.0,0.0,0,37.0,1.416
1.0,0.0,0,38.0,1.392156862745098
1.0,0.0,0,39.0,1.3487544483985765
1.0,0.0,0,40.0,1.3557692307692308
1.0,0.0,0,41.0,1.24
1.0,0.0,0,42.0,1.1717451523545706
1.0,0.0,0,43.0,1.1246819338422391
