age,sex,health,education,death_prob
25,1,1,1,0.0001292305359001275
26,0,0,0,0.0006563880635670061
26,1,0,0,0.00024519922406232884
26,0,0,1,0.00046321939798014267
26,1,0,1,0.00019628484306305423
26,0,1,0,0.00033647720436861964
26,1,1,0,0.00013478354205872058
26,0,1,1,0.00021052552436031134
26,1,1,1,0.0001352078637689549
27,0,0,0,0.0006708280555184681
27,1,0,0,0.00026303049545746524
27,0,0,1,0.0004734098398084797
27,1,0,1,0.00021055898410405276
27,0,1,0,0.00034387942325805155
27,1,1,0,0.00014458521221994387
27,0,1,1,0.00021515691095320584
27,1,1,1,0.0001450403912691562
28,0,0,0,0.0006953875249309449
28,1,0,0,0.0002873400345177411
28,0,0,1,0.0004907416946477288
28,1,0,1,0.00023001905408440683
28,0,1,0,0.00035646908182645907
28,1,1,0,0.00015794792082103604
28,0,1,1,0.00022303395117233358
28,1,1,1,0.0001584451679690709
29,0,0,0,0.0007307123958976926
29,1,0,0,0.0003175120851086482
29,0,0,1,0.0005156707973709271
29,1,0,1,0.00025417213302572227
29,0,1,0,0.0003745772932448407
29,1,1,0,0.00017453319292117786
29,0,1,1,0.00023436381439809244
29,1,1,1,0.00017508265335070642
30,0,0,0,0.0007778792085741382
30,1,0,0,0.0003525460435116104
30,0,0,1,0.0005489568727664693
30,1,0,1,0.00028221722596310855
30,0,1,0,0.00039875591279819384
30,1,1,0,0.00019379100674153812
30,0,1,1,0.0002494917829311455
30,1,1,1,0.00019440109407232493
31,0,0,0,0.0008380362724594039
31,1,0,0,0.00039122322571041347
31,0,0,1,0.0005914102939419767
31,1,0,1,0.0003131787621059938
31,0,1,0,0.0004295935861238489
31,1,1,0,0.00021505146396174542
31,0,1,1,0.00026878615789220004
31,1,1,1,0.00021572848285873275
32,0,0,0,0.0009113558339783584
32,1,0,0,0.0004335051469466506
32,0,0,1,0.0006431526168635925
32,1,0,1,0.0003470259339557284
32,0,1,0,0.0004671786100674057
32,1,1,0,0.0002382934098979986
32,0,1,1,0.00029230218444936223
32,1,1,1,0.00023904359842755535
33,0,0,0,0.0009976225850999159
33,1,0,0,0.00047946877673713526
33,0,0,1,0.0007040318965736376
33,1,0,1,0.0003838203565096116
33,0,1,0,0.0005114006135718647
33,1,1,0,0.00026355915391790003
33,0,1,1,0.0003199708061424994
33,1,1,1,0.0002643888833435418
34,0,0,0,0.0010961906017308205
34,1,0,0,0.0005292039128514833
34,0,0,1,0.0007735922981990754
34,1,0,1,0.0004236339139311592
34,0,1,0,0.0005619284834662274
34,1,1,0,0.0002908980569503192
