combination_id,ft_work_value,pt_work_value,unemployed_value,partner_retired_value,children_value,log_likelihood,disutil_ft_work_good_women,disutil_ft_work_bad_women,disutil_pt_work_good_women,disutil_pt_work_bad_women,disutil_unemployed_good_women,disutil_unemployed_bad_women,disutil_partner_retired_women,disutil_children_ft_work_low,disutil_children_ft_work_high
77,0.1,0.9,0.9,0.5,0.9,93668.65773982072,0.1,0.1,0.9,0.9,0.9,0.9,0.5,0.9,0.9
78,0.1,0.9,0.9,0.9,0.1,162885.01553143037,0.1,0.1,0.9,0.9,0.9,0.9,0.9,0.1,0.1
79,0.1,0.9,0.9,0.9,0.5,91766.69995010165,0.1,0.1,0.9,0.9,0.9,0.9,0.9,0.5,0.5
80,0.1,0.9,0.9,0.9,0.9,95282.47571589745,0.1,0.1,0.9,0.9,0.9,0.9,0.9,0.9,0.9
81,0.5,0.1,0.1,0.1,0.1,65555.1122623294,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1
82,0.5,0.1,0.1,0.1,0.5,112152.53686051458,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5
83,0.5,0.1,0.1,0.1,0.9,159712.28360753882,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.9,0.9
84,0.5,0.1,0.1,0.5,0.1,69263.27865995964,0.5,0.5,0.1,0.1,0.1,0.1,0.5,0.1,0.1
85,0.5,0.1,0.1,0.5,0.5,115865.01254954645,0.5,0.5,0.1,0.1,0.1,0.1,0.5,0.5,0.5
86,0.5,0.1,0.1,0.5,0.9,163424.10688136306,0.5,0.5,0.1,0.1,0.1,0.1,0.5,0.9,0.9
87,0.5,0.1,0.1,0.9,0.1,73860.96309228128,0.5,0.5,0.1,0.1,0.1,0.1,0.9,0.1,0.1
88,0.5,0.1,0.1,0.9,0.5,120470.2376055707,0.5,0.5,0.1,0.1,0.1,0.1,0.9,0.5,0.5
89,0.5,0.1,0.1,0.9,0.9,168030.6796591676,0.5,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.9
90,0.5,0.1,0.5,0.1,0.1,78905.96724183654,0.5,0.5,0.1,0.1,0.5,0.5,0.1,0.1,0.1
91,0.5,0.1,0.5,0.1,0.5,125552.67214602776,0.5,0.5,0.1,0.1,0.5,0.5,0.1,0.5,0.5
92,0.5,0.1,0.5,0.1,0.9,173119.59932919563,0.5,0.5,0.1,0.1,0.5,0.5,0.1,0.9,0.9
93,0.5,0.1,0.5,0.5,0.1,80959.01340666693,0.5,0.5,0.1,0.1,0.5,0.5,0.5,0.1,0.1
94,0.5,0.1,0.5,0.5,0.5,127608.85502436914,0.5,0.5,0.1,0.1,0.5,0.5,0.5,0.5,0.5
95,0.5,0.1,0.5,0.5,0.9,175174.7847533052,0.5,0.5,0.1,0.1,0.5,0.5,0.5,0.9,0.9
96,0.5,0.1,0.5,0.9,0.1,84881.72666003741,0.5,0.5,0.1,0.1,0.5,0.5,0.9,0.1,0.1
97,0.5,0.1,0.5,0.9,0.5,131537.417691643,0.5,0.5,0.1,0.1,0.5,0.5,0.9,0.5,0.5
98,0.5,0.1,0.5,0.9,0.9,179104.32881066535,0.5,0.5,0.1,0.1,0.5,0.5,0.9,0.9,0.9
99,0.5,0.1,0.9,0.1,0.1,93671.14358406296,0.5,0.5,0.1,0.1,0.9,0.9,0.1,0.1,0.1
100,0.5,0.1,0.9,0.1,0.5,140333.03093048115,0.5,0.5,0.1,0.1,0.9,0.9,0.1,0.5,0.5
101,0.5,0.1,0.9,0.1,0.9,187901.98043203232,0.5,0.5,0.1,0.1,0.9,0.9,0.1,0.9,0.9
102,0.5,0.1,0.9,0.5,0.1,95258.20076081736,0.5,0.5,0.1,0.1,0.9,0.9,0.5,0.1,0.1
