age,sex,health,education,death_prob
78,0,0,1,0.02178120717484986
78,1,0,1,0.0213477879230296
78,0,1,0,0.06750901907021997
78,1,1,0,0.03818550162225711
78,0,1,1,0.048046571543633516
78,1,1,1,0.03053440626448673
79,0,0,0,0.03782590570213274
79,1,0,0,0.023348746581994047
79,0,0,1,0.02396717868486252
79,1,0,1,0.023787498063171708
79,0,1,0,0.07428425384815276
79,1,1,0,0.04254949267604365
79,0,1,1,0.05286854654736248
79,1,1,1,0.03402399969942633
80,0,0,0,0.04181559989860734
80,1,0,0,0.026143054391832853
80,0,0,1,0.026495121160526082
80,1,0,1,0.02663431433148933
80,0,1,0,0.08211939886229346
80,1,1,0,0.04764168806528299
80,0,1,1,0.05844486598825207
80,1,1,1,0.03809588971494341
81,0,0,0,0.046482408446979574
81,1,0,0,0.029471841726145722
81,0,0,1,0.02945209554859935
81,1,0,1,0.03002565364769666
81,0,1,0,0.0912842921922228
81,1,1,0,0.0537078900262345
81,0,1,1,0.06496757523704437
81,1,1,1,0.04294662801322351
82,0,0,0,0.05199959932833405
82,1,0,0,0.033515438562698896
82,0,0,1,0.03294788757888671
82,1,0,1,0.03414523461021106
82,0,1,0,0.102119205470615
82,1,1,0,0.06107672215508528
82,0,1,1,0.0726788476443334
82,1,1,1,0.048838993030264045
83,0,0,0,0.05855085667503862
83,1,0,0,0.03847625879808173
83,0,0,1,0.03709888284322836
83,1,0,1,0.03919927472009495
83,0,1,0,0.11498486604724302
83,1,1,0,0.07011705258701394
83,0,1,1,0.08183541501658465
83,1,1,1,0.056067944083582594
84,0,0,0,0.0662470949348939
84,1,0,0,0.04448541483223614
84,0,0,1,0.04197535874383916
84,1,0,1,0.04532135013950861
84,0,1,0,0.13009909281746204
84,1,1,0,0.08106781346689926
84,0,1,1,0.09259230036084778
84,1,1,1,0.06482453932015715
85,0,0,0,0.07516983680053103
85,1,0,0,0.05164726796217689
85,0,0,1,0.04762896953472555
85,1,0,1,0.052617783241770515
85,0,1,0,0.1476219837956193
85,1,1,0,0.09411918717679754
85,0,1,1,0.10506344638887107
85,1,1,1,0.07526085494355576
86,0,0,0,0.0853722813488068
86,1,0,0,0.06003737649032143
86,0,0,1,0.05409342311414479
86,1,0,1,0.06116555216213515
86,0,1,0,0.1676580137763393
86,1,1,0,0.10940886707956383
86,0,1,1,0.1193232084351501
86,1,1,1,0.08748699517927565
87,0,0,0,0.0968636833982392
87,1,0,0,0.06967989013829301
87,0,0,1,0.06137458350266691
87,1,0,1,0.07098926042500678
87,0,1,0,0.19022535779800773
87,1,1,0,0.12698086232145908
87,0,1,1,0.1353845217829127
87,1,1,1,0.10153815121491927
88,0,0,0,0.1095938403972546
88,1,0,0,0.0805234977032072
88,0,0,1,0.06944064145470565
88,1,0,1,0.08203663262729488
88,0,1,0,0.2152254257802102
88,1,1,0,0.14674166614212414
88,0,1,1,0.15317721928386718
88,1,1,1,0.11733955191254201
89,0,0,0,0.12347843385212036
89,1,0,0,0.09248652694102594
89,0,0,1,0.07823817124605914
89,1,0,1,0.09422446180368987
89,0,1,0,0.24249262918577189
89,1,1,0,0.16854244346223982
89,0,1,1,0.1725834505884196
89,1,1,1,0.13477218375692823
90,0,0,0,0.13843146778844298
90,1,0,0,0.10552158958751556
90,0,0,1,0.08771268427040824
90,1,0,1,0.10750446920656317
90,0,1,0,0.2718580851638215
90,1,1,0,0.19229683647262524
90,0,1,1,0.1934830207642684
90,1,1,1,0.1537669921509765
91,0,0,0,0.15432234961989985
91,1,0,0,0.1195490792014381
91,0,0,1,0.09778143470070098
91,1,0,1,0.12179555249236441
91,0,1,0,0.30306532998525565
91,1,1,0,0.21785977470123066
91,0,1,1,0.2156934030456805
91,1,1,1,0.17420797388555345
92,0,0,0,0.17097138102287288
92,1,0,0,0.1344485671306666
92,0,0,1,0.10833056242568348
92,1,0,1,0.13697502000742556
92,0,1,0,0.33576146381489674
