sex,education,experience,has_partner,credited_periods,pgexpft,experience_men,experience_women,very_long,predicted_credited_periods
0,0,34.41699981689453,1,40.333333333333336,34.41699981689453,34.41699981689453,0.0,False,37.06019043178305
1,0,33.333499908447266,0,52.25821917808219,25.0,0.0,33.333499908447266,True,47.80503533499994
1,0,17.0,0,61.682648401826484,13.0,0.0,17.0,True,24.38044618558194
0,0,37.5,1,45.333333333333336,37.5,37.5,0.0,True,40.37996189632031
1,0,25.5,0,42.33881278538813,24.0,0.0,25.5,False,36.57066927837291
0,0,40.5,0,44.333333333333336,36.0,40.5,0.0,False,43.61035884802594
1,0,26.875,0,50.8472602739726,9.5,0.0,26.875,True,38.542617131618506
1,0,24.375,1,34.62945205479452,21.0,0.0,24.375,False,34.95725739844469
1,0,6.5,1,26.203424657534246,2.0,0.0,6.5,False,9.321935306251918
1,0,13.0,0,27.422146118721464,13.0,0.0,13.0,False,18.643870612503836
0,0,45.0,1,23.083333333333332,45.0,45.0,0.0,False,48.455954275584375
1,0,25.0,1,46.04063926940639,25.0,0.0,25.0,True,35.85359733173814
1,0,35.708499908447266,1,38.5,34.5,0.0,35.708499908447266,False,51.211127081515066
1,0,40.0,0,41.083333333333336,40.0,0.0,40.0,False,57.36575573078103
1,0,27.75,1,42.43036529680366,18.0,0.0,27.75,False,39.79749303822934
0,0,48.04199981689453,1,46.25,47.91699981689453,48.04199981689453,0.0,True,51.7315765874461
0,0,33.875,1,45.083333333333336,31.75,33.875,0.0,True,36.47656557967601
1,0,31.0,0,52.84155251141553,31.0,0.0,31.0,True,44.4584606913553
0,0,41.0,0,33.0,41.0,41.0,0.0,False,44.14875833997687
0,0,38.16699981689453,1,45.083333333333336,38.16699981689453,38.16699981689453,0.0,True,41.09818662141508
1,1,35.458499908447266,0,48.00821917808219,34.25,0.0,35.458499908447266,True,50.852591108197686
0,1,32.0,0,35.75,32.0,32.0,0.0,False,34.45756748486
0,0,44.0,0,48.416666666666664,44.0,44.0,0.0,True,47.3791552916825
0,0,27.0,1,37.583333333333336,27.0,27.0,0.0,False,29.073572565350624
1,0,27.166500091552734,0,54.86963470319635,14.0,0.0,27.166500091552734,True,38.960670207806366
1,0,13.0,1,34.82694063926941,3.0,0.0,13.0,False,18.643870612503836
1,0,11.5,0,35.92488584474886,4.0,0.0,11.5,False,16.492654772599547
0,0,40.0,1,37.25,40.0,40.0,0.0,False,43.071959356075
0,0,33.0,1,35.916666666666664,33.0,33.0,0.0,False,35.534366468761874
0,0,41.0,0,45.5,41.0,41.0,0.0,True,44.14875833997687
0,0,43.0,1,49.0,43.0,43.0,0.0,True,46.30235630778063
0,0,40.25,1,44.75,40.0,40.25,0.0,False,43.34115910205047
0,1,39.75,1,45.0,35.0,39.75,0.0,True,42.80275961009953
1,0,15.5,0,33.19474885844749,4.0,0.0,15.5,False,22.22923034567765
1,0,40.0,1,41.416666666666664,40.0,0.0,40.0,False,57.36575573078103
1,0,40.5,1,42.666666666666664,40.0,0.0,40.5,False,58.0828276774158
1,0,27.0,1,38.52899543378996,25.0,0.0,27.0,False,38.7218851182772
1,0,29.25,1,58.45867579908676,16.0,0.0,29.25,True,41.94870887813363
1,0,14.0,0,25.091552511415525,9.0,0.0,14.0,False,20.07801450577336
0,1,37.5,1,44.083333333333336,37.0,37.5,0.0,False,40.37996189632031
0,1,47.333499908447266,0,28.583333333333332,45.0,47.333499908447266,0.0,False,50.96866460593551
0,0,44.0,1,10.5,44.0,44.0,0.0,False,47.3791552916825
0,0,45.0,1,48.416666666666664,45.0,45.0,0.0,True,48.455954275584375
0,0,43.0,1,47.666666666666664,42.0,43.0,0.0,True,46.30235630778063
0,0,43.25,1,48.666666666666664,43.25,43.25,0.0,True,46.5715560537561
1,0,8.0,1,31.628310502283107,6.0,0.0,8.0,False,11.473151146156207
1,0,9.0,1,20.59178082191781,9.0,0.0,9.0,False,12.907295039425733
0,0,46.0,0,45.916666666666664,46.0,46.0,0.0,True,49.53275325948625
1,0,4.0,0,30.671232876712327,4.0,0.0,4.0,False,5.736575573078103
1,0,38.583499908447266,1,44.92214611872146,35.0,0.0,38.583499908447266,False,55.33429077466496
0,0,53.5,1,28.75,50.0,53.5,0.0,False,57.608745638750314
0,0,43.5,0,45.333333333333336,43.0,43.5,0.0,True,46.84075579973156
1,0,12.0,1,14.505479452054795,12.0,0.0,12.0,False,17.20972671923431
1,1,25.375,1,43.772831050228305,9.0,0.0,25.375,False,36.39140129171422
1,0,16.0,0,33.941095890410956,6.0,0.0,16.0,False,22.946302292312414
0,0,43.0,1,50.25,43.0,43.0,0.0,True,46.30235630778063
1,0,45.0,0,41.0,45.0,0.0,45.0,False,64.53647519712867
0,0,46.0,0,48.75,46.0,46.0,0.0,True,49.53275325948625
0,1,37.0,1,9.75,37.0,37.0,0.0,False,39.84156240436938
1,0,38.5,0,48.58881278538813,38.0,0.0,38.5,True,55.21453989087674
1,0,39.5,0,55.42488584474886,33.0,0.0,39.5,True,56.64868378414627
0,1,28.0,1,31.416666666666668,28.0,28.0,0.0,False,30.1503715492525
0,0,29.083499908447266,1,39.083333333333336,29.0,29.083499908447266,0.0,False,31.31708314972629
0,0,45.58300018310547,1,45.0,45.58300018310547,45.58300018310547,0.0,True,49.08372828036695
1,0,7.5,0,28.94018264840183,7.0,0.0,7.5,False,10.756079199521444
1,1,37.58300018310547,1,34.737671232876714,37.08300018310547,0.0,37.58300018310547,False,53.89943020334818
1,0,39.2504997253418,1,52.83881278538813,38.91699981689453,0.0,39.2504997253418,True,56.29086448887614
0,1,37.0,1,39.916666666666664,37.0,37.0,0.0,False,39.84156240436938
0,0,30.0,1,46.083333333333336,30.0,30.0,0.0,True,32.30396951705625
1,0,45.0,0,22.672146118721464,45.0,0.0,45.0,False,64.53647519712867
1,0,4.0,1,58.935388127853884,4.0,0.0,4.0,True,5.736575573078103
0,0,39.33300018310547,1,45.916666666666664,39.33300018310547,39.33300018310547,0.0,True,42.353734630980234
0,0,39.33300018310547,1,45.583333333333336,39.33300018310547,39.33300018310547,0.0,True,42.353734630980234
1,0,40.0,0,41.916666666666664,40.0,0.0,40.0,False,57.36575573078103
0,0,38.16699981689453,1,42.833333333333336,38.16699981689453,38.16699981689453,0.0,False,41.09818662141508
