Tabelle: 12621-0001
Sterbetafel (Periodensterbetafel): Deutschland, Jahre, Geschlecht, Vollendetes Alter;;;;;;;;;;;;;;;
Sterbetafeln;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;männlich;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;
;;Sterbewahrscheinlichkeit [q(x)];;Überlebenswahrscheinlichkeit [p(x)];;Überlebende [l(x)];;Gestorbene [d(x)];;Bis zum Alter x+1 durchlebte Jahre [L(x)];;Insgesamt noch zu durchlebende Jahre [T(x)];;Durchschnittliche Lebenserwartung [e(x)];;Sterbewahrscheinlichkeit [q(x)];;Überlebenswahrscheinlichkeit [p(x)];;Überlebende [l(x)];;Gestorbene [d(x)];;Bis zum Alter x+1 durchlebte Jahre [L(x)];;Insgesamt noch zu durchlebende Jahre [T(x)];;Durchschnittliche Lebenserwartung [e(x)];
;;Ziffer;Ziffer;Ziffer;Ziffer;Anzahl;Anzahl;Anzahl;Anzahl;Jahre;Jahre;Jahre;Jahre;Jahre;Jahre;Ziffer;Ziffer;Ziffer;Ziffer;Anzahl;Anzahl;Anzahl;Anzahl;Jahre;Jahre;Jahre;Jahre;Jahre;Jahre
;33 Jahre;0,00069502;e;0,99930498;e;98727;e;69;e;98693;e;4537710;e;45,96;e;0,00037376;e;0,99962624;e;99198;e;37;e;99179;e;5015482;e;50,56;e
;34 Jahre;0,00076369;e;0,99923631;e;98658;e;75;e;98621;e;4439017;e;44,99;e;0,00041253;e;0,99958747;e;99161;e;41;e;99140;e;4916302;e;49,58;e
;35 Jahre;0,00083997;e;0,99916003;e;98583;e;83;e;98542;e;4340397;e;44,03;e;0,00045425;e;0,99954575;e;99120;e;45;e;99098;e;4817162;e;48,60;e
;36 Jahre;0,00092221;e;0,99907779;e;98500;e;91;e;98455;e;4241855;e;43,06;e;0,00049888;e;0,99950112;e;99075;e;49;e;99050;e;4718064;e;47,62;e
;37 Jahre;0,00100930;e;0,99899070;e;98409;e;99;e;98360;e;4143400;e;42,10;e;0,00054650;e;0,99945350;e;99026;e;54;e;98999;e;4619014;e;46,64;e
;38 Jahre;0,00110203;e;0,99889797;e;98310;e;108;e;98256;e;4045041;e;41,15;e;0,00059757;e;0,99940243;e;98971;e;59;e;98942;e;4520016;e;45,67;e
;39 Jahre;0,00120165;e;0,99879835;e;98202;e;118;e;98143;e;3946785;e;40,19;e;0,00065269;e;0,99934731;e;98912;e;65;e;98880;e;4421074;e;44,70;e
;40 Jahre;0,00130981;e;0,99869019;e;98084;e;128;e;98019;e;3848642;e;39,24;e;0,00071263;e;0,99928737;e;98848;e;70;e;98813;e;4322194;e;43,73;e
;41 Jahre;0,00142864;e;0,99857136;e;97955;e;140;e;97885;e;3750622;e;38,29;e;0,00077836;e;0,99922164;e;98777;e;77;e;98739;e;4223381;e;42,76;e
;42 Jahre;0,00156076;e;0,99843924;e;97815;e;153;e;97739;e;3652737;e;37,34;e;0,00085107;e;0,99914893;e;98700;e;84;e;98658;e;4124642;e;41,79;e
;43 Jahre;0,00170846;e;0,99829154;e;97663;e;167;e;97579;e;3554998;e;36,40;e;0,00093194;e;0,99906806;e;98616;e;92;e;98570;e;4025984;e;40,82;e
;44 Jahre;0,00187351;e;0,99812649;e;97496;e;183;e;97404;e;3457419;e;35,46;e;0,00102207;e;0,99897793;e;98525;e;101;e;98474;e;3927413;e;39,86;e
;45 Jahre;0,00205784;e;0,99794216;e;97313;e;200;e;97213;e;3360015;e;34,53;e;0,00112276;e;0,99887724;e;98424;e;111;e;98369;e;3828939;e;38,90;e
;46 Jahre;0,00226355;e;0,99773645;e;97113;e;220;e;97003;e;3262802;e;33,60;e;0,00123549;e;0,99876451;e;98313;e;121;e;98253;e;3730570;e;37,95;e
;47 Jahre;0,00249294;e;0,99750706;e;96893;e;242;e;96772;e;3165799;e;32,67;e;0,00136197;e;0,99863803;e;98192;e;134;e;98125;e;3632318;e;36,99;e
;48 Jahre;0,00274858;e;0,99725142;e;96652;e;266;e;96519;e;3069026;e;31,75;e;0,00150414;e;0,99849586;e;98058;e;147;e;97984;e;3534193;e;36,04;e
;49 Jahre;0,00303388;e;0,99696612;e;96386;e;292;e;96240;e;2972508;e;30,84;e;0,00166362;e;0,99833638;e;97911;e;163;e;97829;e;3436208;e;35,10;e
;50 Jahre;0,00335310;e;0,99664690;e;96093;e;322;e;95932;e;2876268;e;29,93;e;0,00184180;e;0,99815820;e;97748;e;180;e;97658;e;3338379;e;34,15;e
;51 Jahre;0,00371120;e;0,99628880;e;95771;e;355;e;95594;e;2780336;e;29,03;e;0,00204000;e;0,99796000;e;97568;e;199;e;97468;e;3240722;e;33,22;e
;52 Jahre;0,00411400;e;0,99588600;e;95416;e;393;e;95220;e;2684742;e;28,14;e;0,00225939;e;0,99774061;e;97369;e;220;e;97259;e;3143253;e;32,28;e
;53 Jahre;0,00456835;e;0,99543165;e;95023;e;434;e;94806;e;2589523;e;27,25;e;0,00250093;e;0,99749907;e;97149;e;243;e;97027;e;3045995;e;31,35;e
;54 Jahre;0,00508175;e;0,99491825;e;94589;e;481;e;94349;e;2494716;e;26,37;e;0,00276582;e;0,99723418;e;96906;e;268;e;96772;e;2948967;e;30,43;e
;55 Jahre;0,00566051;e;0,99433949;e;94108;e;533;e;93842;e;2400368;e;25,51;e;0,00305743;e;0,99694257;e;96638;e;295;e;96490;e;2852196;e;29,51;e
;56 Jahre;0,00631056;e;0,99368944;e;93576;e;591;e;93281;e;2306526;e;24,65;e;0,00338052;e;0,99661948;e;96342;e;326;e;96179;e;2755706;e;28,60;e
;57 Jahre;0,00703774;e;0,99296226;e;92985;e;654;e;92658;e;2213245;e;23,80;e;0,00374100;e;0,99625900;e;96017;e;359;e;95837;e;2659526;e;27,70;e
;58 Jahre;0,00784754;e;0,99215246;e;92331;e;725;e;91969;e;2120587;e;22,97;e;0,00414621;e;0,99585379;e;95657;e;397;e;95459;e;2563689;e;26,80;e
;59 Jahre;0,00874483;e;0,99125517;e;91606;e;801;e;91206;e;2028618;e;22,14;e;0,00460528;e;0,99539472;e;95261;e;439;e;95041;e;2468230;e;25,91;e
;60 Jahre;0,00973313;e;0,99026687;e;90805;e;884;e;90363;e;1937413;e;21,34;e;0,00512618;e;0,99487382;e;94822;e;486;e;94579;e;2373189;e;25,03;e
;61 Jahre;0,01081356;e;0,98918644;e;89921;e;972;e;89435;e;1847049;e;20,54;e;0,00571033;e;0,99428967;e;94336;e;539;e;94067;e;2278610;e;24,15;e
;62 Jahre;0,01198472;e;0,98801528;e;88949;e;1066;e;88416;e;1757614;e;19,76;e;0,00635591;e;0,99364409;e;93797;e;596;e;93499;e;2184543;e;23,29;e
;63 Jahre;0,01324216;e;0,98675784;e;87883;e;1164;e;87301;e;1669198;e;18,99;e;0,00705773;e;0,99294227;e;93201;e;658;e;92872;e;2091044;e;22,44;e
;64 Jahre;0,01457783;e;0,98542217;e;86719;e;1264;e;86087;e;1581897;e;18,24;e;0,00780635;e;0,99219365;e;92543;e;722;e;92182;e;1998172;e;21,59;e
;65 Jahre;0,01597984;e;0,98402016;e;85455;e;1366;e;84772;e;1495810;e;17,50;e;0,00858767;e;0,99141233;e;91821;e;789;e;91427;e;1905990;e;20,76;e
;66 Jahre;0,01744392;e;0,98255608;e;84089;e;1467;e;83356;e;1411038;e;16,78;e;0,00939707;e;0,99060293;e;91032;e;855;e;90605;e;1814563;e;19,93;e
;67 Jahre;0,01898028;e;0,98101972;e;82623;e;1568;e;81839;e;1327682;e;16,07;e;0,01024816;e;0,98975184;e;90177;e;924;e;89715;e;1723959;e;19,12;e
;68 Jahre;0,02060440;e;0,97939560;e;81054;e;1670;e;80219;e;1245843;e;15,37;e;0,01116157;e;0,98883843;e;89253;e;996;e;88755;e;1634244;e;18,31;e
;69 Jahre;0,02233709;e;0,97766291;e;79384;e;1773;e;78498;e;1165624;e;14,68;e;0,01216511;e;0,98783489;e;88257;e;1074;e;87720;e;1545489;e;17,51;e
;70 Jahre;0,02420523;e;0,97579477;e;77611;e;1879;e;76672;e;1087126;e;14,01;e;0,01329538;e;0,98670462;e;87183;e;1159;e;86603;e;1457769;e;16,72;e
;71 Jahre;0,02624195;e;0,97375805;e;75733;e;1987;e;74739;e;1010454;e;13,34;e;0,01459783;e;0,98540217;e;86024;e;1256;e;85396;e;1371166;e;15,94;e
;72 Jahre;0,02847670;e;0,97152330;e;73745;e;2100;e;72695;e;935715;e;12,69;e;0,01610264;e;0,98389736;e;84768;e;1365;e;84086;e;1285770;e;15,17;e
;73 Jahre;0,03093664;e;0,96906336;e;71645;e;2216;e;70537;e;863020;e;12,05;e;0,01782531;e;0,98217469;e;83403;e;1487;e;82660;e;1201684;e;14,41;e
;74 Jahre;0,03365310;e;0,96634690;e;69429;e;2336;e;68260;e;792483;e;11,41;e;0,01977932;e;0,98022068;e;81916;e;1620;e;81106;e;1119025;e;13,66;e
;75 Jahre;0,03666250;e;0,96333750;e;67092;e;2460;e;65862;e;724223;e;10,79;e;0,02197471;e;0,97802529;e;80296;e;1764;e;79414;e;1037918;e;12,93;e
;76 Jahre;0,04000711;e;0,95999289;e;64632;e;2586;e;63340;e;658360;e;10,19;e;0,02441623;e;0,97558377;e;78532;e;1917;e;77573;e;958505;e;12,21;e
;77 Jahre;0,04374051;e;0,95625949;e;62047;e;2714;e;60690;e;595021;e;9,59;e;0,02711138;e;0,97288862;e;76614;e;2077;e;75576;e;880932;e;11,50;e
;78 Jahre;0,04795266;e;0,95204734;e;59333;e;2845;e;57910;e;534331;e;9,01;e;0,03012557;e;0,96987443;e;74537;e;2245;e;73414;e;805356;e;10,80;e
;79 Jahre;0,05276521;e;0,94723479;e;56488;e;2981;e;54997;e;476421;e;8,43;e;0,03356844;e;0,96643156;e;72292;e;2427;e;71078;e;731942;e;10,12;e
;80 Jahre;0,05833063;e;0,94166937;e;53507;e;3121;e;51946;e;421424;e;7,88;e;0,03758581;e;0,96241419;e;69865;e;2626;e;68552;e;660864;e;9,46;e
;81 Jahre;0,06484059;e;0,93515941;e;50386;e;3267;e;48752;e;369477;e;7,33;e;0,04237160;e;0,95762840;e;67239;e;2849;e;65814;e;592312;e;8,81;e
;82 Jahre;0,07253679;e;0,92746321;e;47119;e;3418;e;45410;e;320725;e;6,81;e;0,04818507;e;0,95181493;e;64390;e;3103;e;62839;e;526497;e;8,18;e
;83 Jahre;0,08167546;e;0,91832454;e;43701;e;3569;e;41916;e;275315;e;6,30;e;0,05531723;e;0,94468277;e;61287;e;3390;e;59592;e;463659;e;7,57;e
;84 Jahre;0,09241132;e;0,90758868;e;40132;e;3709;e;38277;e;233399;e;5,82;e;0,06395658;e;0,93604342;e;57897;e;3703;e;56046;e;404066;e;6,98;e
;85 Jahre;0,10485809;e;0,89514191;e;36423;e;3819;e;34513;e;195121;e;5,36;e;0,07425316;e;0,92574684;e;54194;e;4024;e;52182;e;348021;e;6,42;e
;86 Jahre;0,11908998;e;0,88091002;e;32604;e;3883;e;30662;e;160608;e;4,93;e;0,08631560;e;0,91368440;e;50170;e;4330;e;48005;e;295839;e;5,90;e
;87 Jahre;0,13511990;e;0,86488010;e;28721;e;3881;e;26781;e;129945;e;4,52;e;0,10017862;e;0,89982138;e;45840;e;4592;e;43544;e;247834;e;5,41;e
;88 Jahre;0,15287782;e;0,84712218;e;24840;e;3798;e;22941;e;103165;e;4,15;e;0,11576845;e;0,88423155;e;41247;e;4775;e;38860;e;204290;e;4,95;e
;89 Jahre;0,17224612;e;0,82775388;e;21043;e;3625;e;19230;e;80223;e;3,81;e;0,13296767;e;0,86703233;e;36472;e;4850;e;34047;e;165430;e;4,54;e
;90 Jahre;0,19310484;e;0,80689516;e;17418;e;3364;e;15736;e;60993;e;3,50;e;0,15170815;e;0,84829185;e;31623;e;4797;e;29224;e;131383;e;4,15;e
;91 Jahre;0,21527181;e;0,78472819;e;14055;e;3026;e;12542;e;45256;e;3,22;e;0,17187544;e;0,82812456;e;26825;e;4611;e;24520;e;102159;e;3,81;e
;92 Jahre;0,23849636;e;0,76150364;e;11029;e;2630;e;9714;e;32715;e;2,97;e;0,19329640;e;0,80670360;e;22215;e;4294;e;20068;e;77639;e;3,49;e
;93 Jahre;0,26246448;e;0,73753552;e;8399;e;2204;e;7297;e;23001;e;2,74;e;0,21574129;e;0,78425871;e;17921;e;3866;e;15988;e;57571;e;3,21;e
;94 Jahre;0,28681714;e;0,71318286;e;6194;e;1777;e;5306;e;15704;e;2,54;e;0,23893813;e;0,76106187;e;14054;e;3358;e;12375;e;41584;e;2,96;e
;95 Jahre;0,31130731;e;0,68869269;e;4418;e;1375;e;3730;e;10398;e;2,35;e;0,26273304;e;0,73726696;e;10696;e;2810;e;9291;e;29208;e;2,73;e
;96 Jahre;0,33582560;e;0,66417440;e;3042;e;1022;e;2532;e;6668;e;2,19;e;0,28712413;e;0,71287587;e;7886;e;2264;e;6754;e;19917;e;2,53;e
;97 Jahre;0,36029654;e;0,63970346;e;2021;e;728;e;1657;e;4137;e;2,05;e;0,31215597;e;0,68784403;e;5622;e;1755;e;4744;e;13163;e;2,34;e
;98 Jahre;0,38467353;e;0,61532647;e;1293;e;497;e;1044;e;2480;e;1,92;e;0,33791111;e;0,66208889;e;3867;e;1307;e;3214;e;8419;e;2,18;e
;99 Jahre;0,40893627;e;0,59106373;e;795;e;325;e;633;e;1436;e;1,81;e;0,36450313;e;0,63549687;e;2560;e;933;e;2094;e;5206;e;2,03;e
;100 Jahre;0,43280007;e;0,56719993;e;470;e;203;e;368;e;803;e;1,71;e;0,38567320;e;0,61432680;e;1627;e;627;e;1313;e;3112;e;1,91;e
__________
"q(x) = Sterbewahrscheinlichkeit vom Alter x bis x+1
p(x) = Überlebenswahrscheinlichkeit vom Alter x bis x+1
l(x) = Überlebende im Alter x
d(x) = Gestorbene im Alter x bis unter x+1
L(x) = Von den Überlebenden im Alter x bis zum Alter x+1
       durchlebte Jahre
T(x) = Von den Überlebenden im Alter x insgesamt noch
       zu durchlebende Jahre
e(x) = Durchschnittliche Lebenserwartung (von den
       Überlebenden) im Alter x in Jahren"
© Statistisches Bundesamt (Destatis), 2024
Stand: 18.12.2024 / 15:21:53
